amd,rcm,padding,matrix_name,partial_gauss,_step,n,rank,_runtime,max_mode_size,z,tile_size,_timestamp,run_id,run_name
False,False,10,ex15,7,12.0,6870.0,7.0,7.7402184009552,2290.0,98624.0,2290.0,1718227950.8187435,421tp1pp,devoted-sweep-2414
False,False,10,ex15,7,13.0,6870.0,4.0,7.943339824676514,3435.0,98624.0,3435.0,1718227951.021865,421tp1pp,devoted-sweep-2414
False,False,10,ex15,7,14.0,6870.0,1.0,8.162118911743164,6870.0,98624.0,6870.0,1718227951.240644,421tp1pp,devoted-sweep-2414
False,True,10,ex15,7,0.0,6870.0,79668.0,4.064412593841553,229.0,98624.0,2.0,1718227931.6231356,1janpg4z,dauntless-sweep-2413
False,True,10,ex15,7,1.0,6870.0,58999.0,5.314415693283081,229.0,98624.0,3.0,1718227932.8731387,1janpg4z,dauntless-sweep-2413
False,True,10,ex15,7,2.0,6870.0,33730.0,6.048818111419678,229.0,98624.0,5.0,1718227933.607541,1janpg4z,dauntless-sweep-2413
False,True,10,ex15,7,3.0,6870.0,29216.0,6.643754005432129,229.0,98624.0,6.0,1718227934.202477,1janpg4z,dauntless-sweep-2413
False,True,10,ex15,7,4.0,6870.0,13536.0,7.019911289215088,229.0,98624.0,10.0,1718227934.5786343,1janpg4z,dauntless-sweep-2413
False,True,10,ex15,7,5.0,6870.0,9158.0,7.285571098327637,229.0,98624.0,15.0,1718227934.844294,1janpg4z,dauntless-sweep-2413
False,True,10,ex15,7,6.0,6870.0,4151.0,7.504320383071899,229.0,98624.0,30.0,1718227935.0630434,1janpg4z,dauntless-sweep-2413
False,True,10,ex15,7,7.0,6870.0,122.0,7.644912004470825,229.0,98624.0,229.0,1718227935.203635,1janpg4z,dauntless-sweep-2413
False,True,10,ex15,7,8.0,6870.0,51.0,7.785540819168091,458.0,98624.0,458.0,1718227935.3442638,1janpg4z,dauntless-sweep-2413
False,True,10,ex15,7,9.0,6870.0,32.0,7.910572052001953,687.0,98624.0,687.0,1718227935.469295,1janpg4z,dauntless-sweep-2413
False,True,10,ex15,7,10.0,6870.0,18.0,8.098075151443481,1145.0,98624.0,1145.0,1718227935.6567981,1janpg4z,dauntless-sweep-2413
False,True,10,ex15,7,11.0,6870.0,15.0,8.301196575164795,1374.0,98624.0,1374.0,1718227935.8599195,1janpg4z,dauntless-sweep-2413
False,True,10,ex15,7,12.0,6870.0,9.0,8.504320621490479,2290.0,98624.0,2290.0,1718227936.0630436,1janpg4z,dauntless-sweep-2413
False,True,10,ex15,7,13.0,6870.0,4.0,8.723095178604126,3435.0,98624.0,3435.0,1718227936.2818182,1janpg4z,dauntless-sweep-2413
False,True,10,ex15,7,14.0,6870.0,1.0,8.926223039627075,6870.0,98624.0,6870.0,1718227936.484946,1janpg4z,dauntless-sweep-2413
False,False,10,ex15,6,0.0,6871.0,1.0,2.1460068225860596,6871.0,98615.0,6871.0,1718227919.511226,m8szq84o,misunderstood-sweep-2412
False,True,10,ex15,6,0.0,6871.0,1.0,2.218818187713623,6871.0,98615.0,6871.0,1718227907.1495051,fnd7nvg3,wandering-sweep-2411
False,False,10,ex15,5,0.0,6872.0,47699.0,3.549139976501465,859.0,98620.0,2.0,1718227888.040224,ejjf6ewq,playful-sweep-2410
False,False,10,ex15,5,1.0,6872.0,16266.0,4.346014976501465,859.0,98620.0,4.0,1718227888.837099,ejjf6ewq,playful-sweep-2410
False,False,10,ex15,5,2.0,6872.0,7586.0,4.769076108932495,859.0,98620.0,8.0,1718227889.2601602,ejjf6ewq,playful-sweep-2410
