amd,rcm,padding,matrix_name,partial_gauss,rank,tile_size,max_mode_size,z,n,_runtime,_timestamp,_step,run_id,run_name
False,True,10,bcsstk13,6,77.0,223.0,223.0,74877.0,2007.0,2.0161173343658447,1718630774.6734734,2.0,pvoazcyy,devout-sweep-3379
False,True,10,bcsstk13,6,9.0,669.0,669.0,74877.0,2007.0,2.0432279109954834,1718630774.700584,3.0,pvoazcyy,devout-sweep-3379
False,True,10,bcsstk13,6,1.0,2007.0,2007.0,74877.0,2007.0,2.083357095718384,1718630774.7407131,4.0,pvoazcyy,devout-sweep-3379
False,False,10,bcsstk13,6,18778.0,3.0,223.0,74877.0,2007.0,1.7892167568206787,1718630774.8201587,0.0,fdz05ltm,toasty-sweep-3380
False,False,10,bcsstk13,6,4230.0,9.0,223.0,74877.0,2007.0,1.889005184173584,1718630774.9199471,1.0,fdz05ltm,toasty-sweep-3380
False,False,10,bcsstk13,6,53.0,223.0,223.0,74877.0,2007.0,1.9105806350708008,1718630774.9415226,2.0,fdz05ltm,toasty-sweep-3380
False,False,10,bcsstk13,6,9.0,669.0,669.0,74877.0,2007.0,1.9407217502593994,1718630774.9716637,3.0,fdz05ltm,toasty-sweep-3380
False,False,10,bcsstk13,6,1.0,2007.0,2007.0,74877.0,2007.0,1.9617688655853271,1718630774.9927108,4.0,fdz05ltm,toasty-sweep-3380
False,True,10,bcsstk13,5,52443.0,2.0,251.0,74936.0,2008.0,1.8423891067504883,1718630773.928179,0.0,dgaw2h0n,floral-sweep-3377
False,True,10,bcsstk13,5,32008.0,4.0,251.0,74936.0,2008.0,2.159006357192993,1718630774.2447963,1.0,dgaw2h0n,floral-sweep-3377
False,True,10,bcsstk13,5,16522.0,8.0,251.0,74936.0,2008.0,2.3358476161956787,1718630774.4216375,2.0,dgaw2h0n,floral-sweep-3377
False,True,10,bcsstk13,5,64.0,251.0,251.0,74936.0,2008.0,2.384669303894043,1718630774.4704592,3.0,dgaw2h0n,floral-sweep-3377
False,True,10,bcsstk13,5,16.0,502.0,502.0,74936.0,2008.0,2.4104247093200684,1718630774.4962146,4.0,dgaw2h0n,floral-sweep-3377
False,True,10,bcsstk13,5,4.0,1004.0,1004.0,74936.0,2008.0,2.430976390838623,1718630774.5167663,5.0,dgaw2h0n,floral-sweep-3377
False,True,10,bcsstk13,5,1.0,2008.0,2008.0,74936.0,2008.0,2.459057331085205,1718630774.5448472,6.0,dgaw2h0n,floral-sweep-3377
False,False,10,bcsstk13,4,6168.0,7.0,41.0,74997.0,2009.0,1.3377923965454102,1718630766.9898233,0.0,z9xes3tx,gallant-sweep-3376
False,False,10,bcsstk13,4,573.0,41.0,41.0,74997.0,2009.0,1.3598911762237549,1718630767.0119221,1.0,z9xes3tx,gallant-sweep-3376
False,False,10,bcsstk13,4,443.0,49.0,49.0,74997.0,2009.0,1.378532886505127,1718630767.0305638,2.0,z9xes3tx,gallant-sweep-3376
False,False,10,bcsstk13,4,41.0,287.0,287.0,74997.0,2009.0,1.3948895931243896,1718630767.0469205,3.0,z9xes3tx,gallant-sweep-3376
False,False,10,bcsstk13,4,1.0,2009.0,2009.0,74997.0,2009.0,1.4163649082183838,1718630767.0683959,4.0,z9xes3tx,gallant-sweep-3376
False,False,10,bcsstk13,3,34054.0,2.0,67.0,75060.0,2010.0,2.437202215194702,1718630763.2353802,0.0,cpyz196j,skilled-sweep-3374
False,False,10,bcsstk13,3,18799.0,3.0,67.0,75060.0,2010.0,2.9101107120513916,1718630763.7082887,1.0,cpyz196j,skilled-sweep-3374
False,False,10,bcsstk13,3,9852.0,5.0,67.0,75060.0,2010.0,3.126718759536743,1718630763.9248967,2.0,cpyz196j,skilled-sweep-3374
False,False,10,bcsstk13,3,7714.0,6.0,67.0,75060.0,2010.0,3.300844669342041,1718630764.0990226,3.0,cpyz196j,skilled-sweep-3374
False,False,10,bcsstk13,3,3910.0,10.0,67.0,75060.0,2010.0,3.404205083847046,1718630764.202383,4.0,cpyz196j,skilled-sweep-3374
False,False,10,bcsstk13,3,2206.0,15.0,67.0,75060.0,2010.0,3.4712862968444824,1718630764.2694643,5.0,cpyz196j,skilled-sweep-3374
False,False,10,bcsstk13,3,877.0,30.0,67.0,75060.0,2010.0,3.5202324390411377,1718630764.3184104,6.0,cpyz196j,skilled-sweep-3374
False,False,10,bcsstk13,3,286.0,67.0,67.0,75060.0,2010.0,3.5543136596679688,1718630764.3524916,7.0,cpyz196j,skilled-sweep-3374
False,False,10,bcsstk13,3,113.0,134.0,134.0,75060.0,2010.0,3.586448907852173,1718630764.3846269,8.0,cpyz196j,skilled-sweep-3374
False,False,10,bcsstk13,3,58.0,201.0,201.0,75060.0,2010.0,3.6131699085235596,1718630764.4113479,9.0,cpyz196j,skilled-sweep-3374
False,False,10,bcsstk13,3,30.0,335.0,335.0,75060.0,2010.0,3.639317035675049,1718630764.437495,10.0,cpyz196j,skilled-sweep-3374
False,False,10,bcsstk13,3,23.0,402.0,402.0,75060.0,2010.0,3.6652910709381104,1718630764.463469,11.0,cpyz196j,skilled-sweep-3374
False,False,10,bcsstk13,3,9.0,670.0,670.0,75060.0,2010.0,3.6873528957366943,1718630764.4855309,12.0,cpyz196j,skilled-sweep-3374
False,False,10,bcsstk13,3,4.0,1005.0,1005.0,75060.0,2010.0,3.722848415374756,1718630764.5210264,13.0,cpyz196j,skilled-sweep-3374
False,False,10,bcsstk13,3,1.0,2010.0,2010.0,75060.0,2010.0,3.753838062286377,1718630764.552016,14.0,cpyz196j,skilled-sweep-3374
False,True,10,bcsstk13,4,17264.0,7.0,41.0,74997.0,2009.0,1.9886658191680908,1718630762.850407,0.0,o8jo4dzh,bright-sweep-3375
False,True,10,bcsstk13,4,1721.0,41.0,41.0,74997.0,2009.0,2.0451486110687256,1718630762.9068897,1.0,o8jo4dzh,bright-sweep-3375
False,True,10,bcsstk13,4,1233.0,49.0,49.0,74997.0,2009.0,2.079758644104004,1718630762.9414997,2.0,o8jo4dzh,bright-sweep-3375
False,True,10,bcsstk13,4,49.0,287.0,287.0,74997.0,2009.0,2.1201531887054443,1718630762.9818943,3.0,o8jo4dzh,bright-sweep-3375
False,True,10,bcsstk13,4,1.0,2009.0,2009.0,74997.0,2009.0,2.150836706161499,1718630763.0125778,4.0,o8jo4dzh,bright-sweep-3375
False,True,10,bcsstk13,3,51062.0,2.0,67.0,75060.0,2010.0,2.686469554901123,1718630759.7405715,0.0,erg02xbp,super-sweep-3373
False,True,10,bcsstk13,3,34813.0,3.0,67.0,75060.0,2010.0,3.2386178970336914,1718630760.2927198,1.0,erg02xbp,super-sweep-3373
False,True,10,bcsstk13,3,23752.0,5.0,67.0,75060.0,2010.0,3.546046733856201,1718630760.6001487,2.0,erg02xbp,super-sweep-3373
False,True,10,bcsstk13,3,19700.0,6.0,67.0,75060.0,2010.0,3.776031494140625,1718630760.8301334,3.0,erg02xbp,super-sweep-3373
False,True,10,bcsstk13,3,11348.0,10.0,67.0,75060.0,2010.0,3.9533936977386475,1718630761.0074956,4.0,erg02xbp,super-sweep-3373
False,True,10,bcsstk13,3,6976.0,15.0,67.0,75060.0,2010.0,4.08437442779541,1718630761.1384764,5.0,erg02xbp,super-sweep-3373
